Wall time,Step,Value
1776118521.4856057,5,1803.0999755859375
1776118618.2526288,10,3800.3798828125
1776118708.1883218,15,1188.780029296875
1776118801.8908324,20,4750.02978515625
1776118896.3053813,25,3145.43994140625
1776118990.6605642,30,5016.4501953125
1776119080.2684274,35,1550.8599853515625
1776119176.2071779,40,498.989990234375
1776119271.9049842,45,2275.6201171875
1776119365.8822515,50,7030.06982421875
1776119454.0638502,55,591.4500122070312
1776119552.4867527,60,8054.68017578125
1776119649.3974147,65,420.5199890136719
1776119742.755284,70,640.2899780273438
1776119828.1772108,75,11075.919921875
1776119927.9917057,80,1810.0999755859375
1776120025.0937798,85,7386.56005859375
1776120116.8131924,90,2807.5400390625
1776120206.709874,95,303.7300109863281
1776120302.4718344,100,10187.26953125
1776120401.722844,105,7889.240234375
1776120490.0570285,110,346.1000061035156
1776120581.8080382,115,1404.9200439453125
1776120676.1586845,120,4721.5
1776120774.5720775,125,7072.22021484375
1776120865.261195,130,2329.81005859375
1776120957.918603,135,754.7000122070312
1776121053.6599581,140,7945.240234375
1776121148.6875868,145,3079.60009765625
1776121240.0202067,150,647.8599853515625
1776121335.4841003,155,10098.3798828125
1776121432.4215453,160,4452.490234375
1776121526.5185702,165,10794.5703125
1776121613.168848,170,827.47998046875
1776121711.2603283,175,3635.320068359375
1776121806.2047174,180,2948.9599609375
1776121900.5346959,185,10893.5
1776121987.6584728,190,1700.260009765625
1776122087.2085998,195,15480.4296875
1776122184.43798,200,4004.5
1776122275.0699625,205,596.3300170898438
1776122363.4329145,210,1421.75
1776122460.8956215,215,11204.4296875
1776122561.0795908,220,835.3400268554688
1776122651.3725379,225,619.1799926757812
1776122743.276163,230,628.030029296875
1776122840.8388953,235,956.8599853515625
1776122940.8684132,240,4302.93994140625
1776123033.2100945,245,1304.4100341796875
1776123135.2129762,250,1172.31005859375
1776123236.516373,255,2183.010009765625
1776123334.107459,260,403.32000732421875
1776123425.9313111,265,1319.010009765625
1776123549.6294994,270,10835.3701171875
1776123665.18921,275,823.989990234375
1776123802.5699632,280,11160.650390625
1776123951.1011505,285,2499.0400390625
1776124103.1063259,290,4153.5400390625
1776124231.4990802,295,563.9500122070312
1776124390.5068314,300,791.3800048828125
1776124566.5979304,305,2820.72998046875
1776124706.1873858,310,9631.6201171875
1776124836.5749836,315,6102.85986328125
1776124959.2484314,320,2832.739990234375
1776125114.0665228,325,17293.0390625
1776125244.1969419,330,485.4700012207031
1776125406.1609614,335,10114.349609375
1776125545.491704,340,747.8499755859375
1776125696.2257004,345,541.030029296875
1776125858.0836985,350,4250.2099609375
1776125991.76483,355,10549.41015625
1776126141.6710238,360,1275.949951171875
1776126277.811445,365,9617.3095703125
1776126425.3222628,370,2669.06005859375
1776126562.7167206,375,3671.4599609375
1776126725.2829986,380,11171.51953125
1776126898.6487951,385,473.9100036621094
1776127102.03183,390,11925.98046875
1776127281.2970817,395,14574.9296875
1776127473.7712903,400,1619.5899658203125
1776127639.337293,405,5524.06982421875
1776127803.787039,410,11703.0302734375
1776127964.2318845,415,5877.2900390625
1776128136.9678981,420,2266.6201171875
1776128308.008232,425,12690.5302734375
1776128460.7011104,430,3552.669921875
1776128608.343566,435,831.719970703125
1776128736.6511302,440,11808.5
1776128895.4805462,445,4886.240234375
1776129014.2525969,450,3460.780029296875
1776129171.0971153,455,1429.949951171875
1776129306.354817,460,12675.849609375
1776129473.0481508,465,7741.97998046875
1776129608.721946,470,18834.05078125
1776129730.8521771,475,611.1799926757812
1776129868.90829,480,3078.570068359375
1776130040.93802,485,589.8499755859375
