test_case,sampled_agents,replicate,num_agents,map_file,completed,steps,max_steps,error
empty-32-32-even-1_n5_run05,5,5,5,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n5_run06,5,6,5,empty-32-32.map,True,38,5000,
empty-32-32-even-1_n5_run07,5,7,5,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n5_run08,5,8,5,empty-32-32.map,True,355,5000,
empty-32-32-even-1_n5_run09,5,9,5,empty-32-32.map,True,4413,5000,
empty-32-32-even-1_n5_run10,5,10,5,empty-32-32.map,True,192,5000,
empty-32-32-even-1_n10_run01,10,1,10,empty-32-32.map,True,514,5000,
empty-32-32-even-1_n10_run02,10,2,10,empty-32-32.map,True,3481,5000,
empty-32-32-even-1_n10_run03,10,3,10,empty-32-32.map,True,3667,5000,
empty-32-32-even-1_n10_run04,10,4,10,empty-32-32.map,True,201,5000,
empty-32-32-even-1_n10_run05,10,5,10,empty-32-32.map,True,944,5000,
empty-32-32-even-1_n10_run06,10,6,10,empty-32-32.map,True,600,5000,
empty-32-32-even-1_n10_run07,10,7,10,empty-32-32.map,True,144,5000,
empty-32-32-even-1_n10_run08,10,8,10,empty-32-32.map,True,1801,5000,
empty-32-32-even-1_n10_run09,10,9,10,empty-32-32.map,True,584,5000,
empty-32-32-even-1_n10_run10,10,10,10,empty-32-32.map,True,4227,5000,
empty-32-32-even-1_n15_run01,15,1,15,empty-32-32.map,True,3713,5000,
empty-32-32-even-1_n15_run02,15,2,15,empty-32-32.map,True,2812,5000,
empty-32-32-even-1_n15_run03,15,3,15,empty-32-32.map,True,3931,5000,
empty-32-32-even-1_n15_run04,15,4,15,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n15_run05,15,5,15,empty-32-32.map,True,1384,5000,
empty-32-32-even-1_n15_run06,15,6,15,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n15_run07,15,7,15,empty-32-32.map,True,1438,5000,
empty-32-32-even-1_n15_run08,15,8,15,empty-32-32.map,True,1987,5000,
empty-32-32-even-1_n15_run09,15,9,15,empty-32-32.map,True,1394,5000,
empty-32-32-even-1_n15_run10,15,10,15,empty-32-32.map,True,3119,5000,
empty-32-32-even-1_n20_run01,20,1,20,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n20_run02,20,2,20,empty-32-32.map,True,293,5000,
empty-32-32-even-1_n20_run03,20,3,20,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n20_run04,20,4,20,empty-32-32.map,True,2180,5000,
empty-32-32-even-1_n20_run05,20,5,20,empty-32-32.map,True,1102,5000,
